symbol,gene_id,status,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,trials,n_trials
KEAP1,ENSG00000079999,ok,0.6045371715684937,0.43568304493582866,0.05870394322308301,4.802819002848801,26.0,59.676409954923805,539,871.4343450888884,350,358.3095758453438,2644,9,1,1,0.0239,DIMETHYL FUMARATE (NCT02975349),1
MET,ENSG00000105976,ok,0.4586661895283841,0.36059922277178974,0.998970679178575,2.62940466969588,48.0,133.11176777099564,1442,1695.8918979548985,628,616.4645331762084,5148,19,3,1,0.0805,CABOZANTINIB (NCT04338269); TIVANTINIB (NCT01244191),2
NPC1L1,ENSG00000015520,ok,0.9909074834703536,0.8377628644229179,5.859779414327441e-28,1.75365222923659,98.0,116.9782096602074,1540,1710.034989768963,729,727.6486952185633,5804,18,1,0,0.0117,EZETIMIBE (NCT02260648),1
PTH1R,ENSG00000160801,ok,0.6082344705068092,0.4528243823102799,0.009456967137336944,2.521923201587194,32.0,70.66757279442005,626,792.4612726076604,329,324.7759688791333,3758,9,1,0,0.0237,TERIPARATIDE (NCT00471237),1
SLC22A12,ENSG00000197891,ok,1.3265550812921503,1.0618449638689493,1.2982540274781951e-20,0.9168734337400986,56.0,52.73839581623839,683,741.5422863575479,337,324.6462435030338,3665,19,0,0,0.0,ARHALOFENATE (NCT00814372),1
SSTR1,ENSG00000139874,ok,0.8180142879370772,0.48225664140359953,0.0694451160787763,0.8442966567789376,10.0,20.735847143328446,494,540.0029259969064,267,227.7594784991996,1336,2,1,1,0.1861,PASIREOTIDE (NCT01374451),1
SSTR2,ENSG00000180616,ok,0.7919346417364783,0.4668815033758608,0.09526605434482051,2.0639094583475694,10.0,21.418711017021263,364,468.7770432173811,177,181.28709845792517,800,0,0,0,0.0,PASIREOTIDE (NCT01374451),1
SSTR3,ENSG00000278195,no_lof_constraint,,,,1.7458518733180717,,,504,604.6595996907394,281,269.2532956387387,1316,6,2,0,0.0644,PASIREOTIDE (NCT01374451),1
SSTR5,ENSG00000162009,ok,14.149135053957847,2.982617863369787,0.11806572439930559,0.4969628102234213,1.0,0.33527593738414463,516,543.1568151432514,256,263.10423879184555,1376,8,4,0,0.61,PASIREOTIDE (NCT01374451),1
TYK2,ENSG00000105397,ok,0.6105451289998098,0.4966466756662168,2.7840527895783723e-07,2.472646419217613,65.0,130.87775109499535,1378,1610.6799569838056,647,658.9440619796744,7371,23,4,0,0.4635,RUXOLITINIB (NCT04551053); RUXOLITINIB (NCT04551066),2
TYMS,ENSG00000176890,ok,0.7704199414420684,0.5350060055174025,0.0010732734305607028,2.826803403472957,21.0,39.251895835619585,273,406.66081262512137,171,162.19430231097112,2250,10,0,0,0.0,PEMETREXED (NCT05226598),1
