symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,score_v0,rank_v0,trials,n_trials,rate_syn,rate_mis,oe_syn,qc_syn_excess,tolerance,burden_v1,score_v1,rank_v1
IL4R,ENSG00000077238,0.6146853218068525,0.4098025876374372,0.3075812364711418,0.9120263509409776,17.0,41.48338861891309,974,1043.064570128129,402,422.8650819501234,4283.0,22.0,8.0,0.0,1.2224,0.137,23,DUPILUMAB (NCT03736967); DUPILUMAB (NCT04791319),2,0.018918563725116452,0.007669707349965198,0.9506578271871017,False,0.30734266090342627,0.26899036021911643,0.0827,21
HTR3E,ENSG00000186038,1.310189340383442,0.9995729896887514,1.6419859300426365e-13,0.6734052850397387,38.0,38.01623332362402,547,585.196149093316,210,232.88838304831015,2453.0,12.0,2.0,1.0,0.4683,0.146,20,RENZAPRIDE (NCT00607971),1,0.008587804912472264,0.003417657486466265,0.9017195158095876,False,0.655094670191721,0.12210423425698996,0.08,22
MASP2,ENSG00000009724,1.0892887124836723,0.8585208253341645,6.9750395156799586e-15,-0.3631499168161304,49.0,57.07491135224075,900,874.815318197179,379,340.7872734666962,3999.0,8.0,3.0,0.0,0.2859,0.154,14,NARSOPLIMAB (NCT03608033),1,0.008803145638280939,0.00342929523248679,1.112130732302825,False,0.5446443562418362,0.12516601950912412,0.0682,23
IL1A,ENSG00000115008,1.094521165322497,0.7206372690785624,9.107414011502668e-05,0.1139097263208127,16.0,22.202570816880293,317,321.7911546468906,113,118.54999632458268,1291.0,2.0,1.0,0.0,0.2868,0.077,49,BERMEKIMAB (NCT01767857); BERMEKIMAB (NCT04791319),2,0.00843525964574525,0.0031076056179894836,0.9531843399692133,False,0.5472605826612486,0.11993529549172077,0.0656,24
CYP19A1,ENSG00000137869,0.9679695772818246,0.7206435136149981,1.868334087451208e-08,0.6712577165322224,32.0,44.40475685332528,598,637.74713963476,212,215.55561291163752,2852.0,10.0,2.0,0.0,0.085,0.108,33,ANASTROZOLE (NCT01151215); LETROZOLE (NCT00097344); LETROZOLE (NCT00267553),3,0.009278348046635453,0.003136039153614091,0.9835048929433581,False,0.4839847886409123,0.13192260361654085,0.0638,25
IFNGR1,ENSG00000027697,0.9215989815268542,0.6504995086518477,1.295980950396346e-05,0.8905052116673625,23.0,35.35744407811655,533,583.4341514938205,199,209.5069335470092,2258.0,16.0,2.0,0.0,0.1672,0.103,36,INTERFERON GAMMA-1B (NCT00047632),1,0.009546223440625366,0.003427978967085171,0.9498492323422238,False,0.4607994907634271,0.13573134405636197,0.0625,26
CD86,ENSG00000114013,0.5676588101621431,0.3429488960292132,0.8646576120622828,0.8429791259347507,11.0,32.07474969991737,359,398.4546886928005,137,135.28502741688425,1599.0,5.0,2.0,0.0,0.3664,0.063,57,ABATACEPT (NCT00430677); ABATACEPT (NCT00534313),2,0.014783601986027243,0.0050193913053485344,1.0126767360428661,False,0.2838294050810716,0.21019811447303913,0.0597,27
GRIN3A,ENSG00000198785,0.6485120022124734,0.5085480147622498,5.028004863213447e-06,0.7898461949273515,47.0,92.41998520429358,1324,1393.1241445060605,527,540.5834906991504,3790.0,20.0,7.0,0.0,1.1299,0.137,22,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.012948971103328964,0.0050246778276044355,0.9748725387791949,False,0.3242560011062367,0.1841127292833086,0.0597,28
PTGS1,ENSG00000095303,0.8262494686943145,0.634729771253647,1.1441435074558526e-08,1.1784113232006213,40.0,63.01894414216066,709,786.4881567314939,298,301.8614701005383,2938.0,12.0,3.0,0.0,0.1612,0.117,29,INDOMETHACIN (NCT01774604); LORNOXICAM (NCT02626455); MESALAMINE (NCT01038739); NAPROXEN (NCT00418782),4,0.009938333630326575,0.0038144248890758523,0.9872078072791065,False,0.41312473434715724,0.14130649567494316,0.0584,29
TNNT3,ENSG00000130595,0.8771704364395849,0.6642332479299013,1.885615597017091e-08,0.9506054577719032,36.0,54.19782901894004,291,331.5874409237048,120,109.70044928210037,3518.0,9.0,1.0,1.0,0.0124,0.062,59,RELDESEMTIV (NCT04944784),1,0.00911573294862675,0.0030157957648042854,1.09388795383521,False,0.43858521821979246,0.12961048867874797,0.0568,30
PARP2,ENSG00000129484,0.9139945460763864,0.7330570356623409,1.5474021456562562e-14,0.6181548596084989,57.0,77.75656903490278,651,689.0464253929291,226,242.64209952898452,3538.0,19.0,2.0,0.0,0.0761,0.102,37,NIRAPARIB (NCT01905592),1,0.008242592707046258,0.0029025620426947267,0.9314129758962272,False,0.4569972730381932,0.11719589360075418,0.0536,31
S1PR4,ENSG00000125910,11.75701337733624,2.4783619624375306,0.1222047393236077,-0.6713400535605777,1.0,0.4034923127275868,595,557.8222746616224,296,266.70072876025756,1611.0,3.0,1.0,0.0,0.0118,0.141,21,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2,0.003749521062984868,0.0017926856732399306,1.109858234643521,False,1.0,0.05331192346501747,0.0533,32
TNFSF14,ENSG00000125735,1.0161215016684648,0.6599011514985356,0.0004197253094688,0.9251673996041512,15.0,22.73067711116623,287,326.1777813155462,133,139.5631333689695,1185.0,4.0,1.0,0.0,0.0539,0.072,53,BAMINERCEPT (NCT00458861),1,0.007165216027045293,0.003065812747780617,0.952973731597024,False,0.5080607508342324,0.10187739768024257,0.0518,33
ADORA2B,ENSG00000170425,1.2854756513418015,0.8668799953743276,3.200218938216762e-06,-0.3798475852510513,18.0,20.764119712126263,441,422.688995468471,179,178.31678966406912,1313.0,1.0,1.0,0.0,0.0416,0.091,42,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2,0.005607996879508089,0.0023658056176543906,1.003831441431948,False,0.6427378256709008,0.07973634376503264,0.0512,34
ESR2,ENSG00000140009,0.958813332697579,0.7260569527642431,1.8378590598779318e-09,-0.3397191638434963,36.0,49.58288721420661,714,693.0304774097,320,266.1233346057813,3400.0,11.0,2.0,0.0,0.2574,0.107,34,ERTEBEREL (NCT01097707); TOREMIFENE (NCT00097344); TOREMIFENE (NCT00267553),3,0.007515312413181192,0.002885875968219009,1.2024499861089908,False,0.4794066663487895,0.10685518322392429,0.0512,35
IL5RA,ENSG00000091181,1.2436135423322785,0.9801516462292856,7.151636264155508e-17,-1.8979850888370575,49.0,49.992264144539824,600,500.44495281700426,202,174.03314213628107,2733.0,7.0,1.0,0.0,0.3678,0.088,43,BENRALIZUMAB (NCT04543409),1,0.00574603197830517,0.0019982217711878216,1.1606984596176444,False,0.6218067711661392,0.08169897219115432,0.0508,36
CSF2,ENSG00000164400,0.4658828699967499,0.1479981390680415,0.9740548798134824,1.2306431180824111,2.0,13.513683432739027,141,179.67878847052842,66,69.22160234469132,738.0,2.0,1.0,0.0,0.2311,0.033,85,OTILIMAB (NCT04333147),1,0.014446357294944806,0.005565487214780634,0.9534595814663572,False,0.23294143499837494,0.20540305855577545,0.0478,37
IFNGR2,ENSG00000159128,0.5625904293965285,0.3653638581323473,0.8067107462279989,1.124025846793124,15.0,41.0549638836102,362,415.7376017808424,161,171.60009500147189,2521.0,9.0,2.0,0.0,0.1766,0.063,58,INTERFERON GAMMA-1B (NCT00047632),1,0.011655005202548665,0.004810726745506911,0.9382279188051675,False,0.28129521469826424,0.16571469659861526,0.0466,38
HTR2A,ENSG00000102468,0.7062348930472357,0.4517531293978418,0.0854766961320053,2.3387715745679616,14.0,30.990377462710903,442,573.3021787225732,209,225.15947734271143,1213.0,8.0,2.0,0.0,0.1088,0.079,47,HALOPERIDOL (NCT03628391); MOLINDONE (NCT02691182); QUETIAPINE (NCT00658645); QUETIAPINE (NCT00704509); VOLINANSERIN (NCT00464061),5,0.008882593011867024,0.0034885616595010716,0.928230969740104,False,0.3531174465236179,0.12629562839222405,0.0446,39
CD80,ENSG00000121594,0.7619186700759187,0.4792273076429662,0.0441195555629678,1.6200470341104134,13.0,27.127001722709124,277,347.84565945569597,125,125.54848758962764,1217.0,3.0,1.0,0.0,0.0153,0.054,64,ABATACEPT (NCT00430677); ABATACEPT (NCT00534313),2,0.007965050150732492,0.002874838230164453,0.9956312688415615,False,0.38095933503795937,0.11324970226806542,0.0431,40
AGER,ENSG00000204305,1.2046980106610885,0.942197239471736,2.524381978027315e-15,0.4880550978822594,46.0,48.822049219535955,489,514.9687852900996,170,199.94487176934285,1975.0,10.0,1.0,0.0,0.0561,0.085,46,AZELIRAGON (NCT02080364); AZELIRAGON (NCT02916056),2,0.005001378585761398,0.0019418652713807996,0.8502343595794376,False,0.6023490053305443,0.0711112453843455,0.0428,41
GUCY1B1,ENSG00000061918,0.7814235176880462,0.6059840647321875,1.5189116268852746e-08,3.4033375452151464,43.0,70.95896163375798,535,754.1409950126581,266,259.68358988150453,4581.0,14.0,2.0,1.0,0.4288,0.087,44,NITRIC OXIDE (NCT02725372),1,0.007701680344578624,0.002652023975923004,1.024323485828957,False,0.3907117588440231,0.10950502375771345,0.0428,42
AVPR1A,ENSG00000166148,1.3299111197626512,0.98541060635365,4.581875985722761e-11,0.0919793985811833,31.0,31.458967257020305,570,575.172278104678,243,233.2256478062297,1567.0,10.0,1.0,0.0,0.0104,0.094,39,BALOVAPTAN (NCT03504917); SELEPRESSIN (NCT02508649),2,0.004287693096390615,0.0017386095228636973,1.0419094224229195,False,0.6649555598813256,0.060963830408327195,0.0405,43
MYH7B,ENSG00000078814,0.9816488064482036,0.8743290163300107,4.8496918675177484e-60,-0.154335884063458,205.0,234.46551146213343,2652,2633.429649359959,1193,1104.9616808385656,12937.0,43.0,6.0,0.0,0.3529,0.194,11,MAVACAMTEN (NCT05582395),1,0.00543005255661585,0.002278397678653868,1.0796754500071182,False,0.4908244032241018,0.07720627286698747,0.0379,44
IL17RA,ENSG00000177663,0.897923221802442,0.6744499346966841,3.3004012501368535e-08,-1.324104377550649,34.0,50.4114512447697,1276,1169.812667562867,585,510.3982516007495,4871.0,14.0,3.0,0.0,0.3826,0.127,25,BRODALUMAB (NCT01902290),1,0.005877763081262864,0.0025645131764986434,1.1461638008462585,False,0.448961610901221,0.08357196833142731,0.0375,45
FGA,ENSG00000171560,1.433585420138699,0.9865697410836096,1.633668921970505e-07,0.1171630958900849,20.0,20.272261723771074,777,784.6954449228512,306,281.63457714247255,3100.0,4.0,1.0,0.0,0.2686,0.101,38,ANCROD (NCT00300196),1,0.003550700379712689,0.001274379769208826,1.086514316192083,False,0.7167927100693495,0.05048502561011358,0.0362,46
ADRA1D,ENSG00000171873,1.6934255435095007,1.1859171426871915,2.9949909509566204e-09,0.0108841454015918,22.0,18.551043077216836,840,840.7399757940952,376,388.1568535123588,2846.0,5.0,1.0,0.0,0.2553,0.119,27,TAMSULOSIN (NCT02518971),1,0.002576278097246479,0.0011894283949748917,0.9686805645646761,False,0.8467127717547503,0.03663036916924753,0.031,47
HTR1A,ENSG00000178394,1.0373287262024793,0.6915733646914677,9.002870834096965e-05,0.899594564261914,17.0,24.58162917767116,515,565.1439683394045,262,244.5565227439539,1117.0,3.0,1.0,0.0,0.0115,0.073,51,BIFEPRUNOX (NCT00658645); BIFEPRUNOX (NCT00704509),2,0.004089034259973434,0.0017694606260035975,1.07132697611304,False,0.5186643631012396,0.058139233745229356,0.0302,48
PDCD1,ENSG00000188389,0.7191506693283767,0.4239720400582184,0.2383511706878031,1.8127012465963008,10.0,23.58646102848394,313,397.76833801273506,168,169.29055107271802,1698.0,4.0,1.0,0.0,0.0386,0.051,66,PEMBROLIZUMAB (NCT05226598),1,0.005907004222406095,0.002514026141437089,0.992376709364224,False,0.35957533466418834,0.08398772849185077,0.0302,49
S1PR2,ENSG00000267534,0.9751986300096742,0.5588453819539824,0.0238288979845237,2.458155008709864,9.0,16.104633393465345,361,488.3730135573172,224,233.8593644357304,959.0,2.0,1.0,0.0,0.0109,0.069,54,FINGOLIMOD HYDROCHLORIDE (NCT00731692),1,0.004276074222697298,0.002047615188062877,0.9578406258841947,False,0.4875993150048371,0.06079862944140831,0.0296,50
IL6R,ENSG00000160712,1.0306443947755963,0.7863018475560917,7.935281835363993e-11,1.4455656815477496,38.0,48.32749677252822,534,618.2796316135108,264,256.19279997130997,3275.0,13.0,1.0,0.0,0.383,0.073,52,TOCILIZUMAB (NCT01209689),1,0.0039033103198528067,0.0016173911428884078,1.030473924441141,False,0.5153221973877982,0.055498549691183716,0.0286,51
ITGB7,ENSG00000139626,0.825306677874159,0.6592793716139019,3.0812724887568853e-12,1.6565022187769407,55.0,83.42442122125127,921,1046.6569555971978,454,423.5628587036935,4061.0,9.0,2.0,0.0,0.0317,0.092,40,NATALIZUMAB (NCT01416181),1,0.00472184932862377,0.0019108457544801268,1.0718597975975959,False,0.4126533389370795,0.06713680648603693,0.0277,52
MSTN,ENSG00000138379,0.6024593251279151,0.3718393273471013,0.673866145252756,0.9511983483624972,12.0,32.27200330210996,403,450.3291203435563,168,155.0545985957938,1028.0,1.0,1.0,0.0,0.0245,0.043,73,DOMAGROZUMAB (NCT02310763),1,0.006449341129229348,0.0022205981244053227,1.0834893097105303,False,0.30122966256395756,0.09169885297498645,0.0276,53
FDPS,ENSG00000160752,0.7985033151294959,0.5856354769403397,9.8590536536956e-06,2.0768077205095805,29.0,49.51885796180054,414,525.6437373716361,172,206.45254306881773,2456.0,8.0,1.0,0.0,0.0233,0.056,62,ALENDRONIC ACID (NCT00471237),1,0.004843728176633143,0.0019024292099441272,0.8331212463809007,False,0.39925165756474795,0.06886972002564182,0.0275,54
DRD3,ENSG00000151577,0.7671641620005287,0.5228305816987837,0.002913253489572,0.7650013660350657,19.0,36.34064391999624,465,505.3216690964545,195,203.6674675568363,1672.0,4.0,1.0,0.0,0.3577,0.054,63,HALOPERIDOL (NCT03628391),1,0.004909964325652234,0.0019789374989361928,0.9574430435021857,False,0.38358208100026436,0.06981148737347269,0.0268,55
ACE,ENSG00000159640,0.8736380337442785,0.7516867693375122,7.628967825190318e-31,-0.6541346462981114,122.0,162.30164607995275,1799,1735.111430061674,796,720.5641668810797,11435.0,28.0,3.0,1.0,0.067,0.123,26,RAMIPRIL (NCT00318474),1,0.004163404368254012,0.0017289955838129462,1.1046899590433978,False,0.43681901687213925,0.05919665240060903,0.0259,56
CTLA4,ENSG00000163599,0.3809522002625446,0.1473958250111372,0.9970405563345822,2.3782874339428752,3.0,20.353358039641353,184,276.7722123573921,100,105.20569296374424,887.0,1.0,1.0,0.0,0.3935,0.027,92,IPILIMUMAB (NCT03445533),1,0.009505189042807958,0.003613079476015872,0.9505189042807958,False,0.1904761001312723,0.1351479034944537,0.0257,57
C5,ENSG00000106804,0.7362694859798824,0.6399031184020422,3.406686481823717e-28,2.5909447390623677,140.0,218.78311884087424,1700,1969.613067973697,614,682.2703581163787,8762.0,33.0,3.0,0.0,0.5808,0.104,35,RAVULIZUMAB (NCT04248465); RAVULIZUMAB (NCT04369469); RAVULIZUMAB (NCT05746559),3,0.004397083889563135,0.00152314180322044,0.8999365027305885,False,0.3681347429899412,0.06251918467769313,0.023,58
MYH6,ENSG00000197616,0.6545288558678166,0.5645293122791221,8.873172428211332e-20,4.203836840437979,126.0,223.19478769191247,2040,2536.419360990674,978,1010.2387159919738,10129.0,52.0,5.0,0.0,0.5795,0.119,28,MAVACAMTEN (NCT05582395),1,0.004949325264267267,0.0019712828552322283,0.9680880216906774,False,0.3272644279339083,0.0703711341421417,0.023,59
CD22,ENSG00000012124,0.6802066440557134,0.5386566200529213,1.147701087026629e-07,1.6949008591827093,51.0,94.67998368791868,931,1060.4118087099205,424,422.52829760360754,3841.0,20.0,2.0,1.0,0.231,0.076,50,INOTUZUMAB OZOGAMICIN (NCT01232556),1,0.004733410783001067,0.0018860597209240503,1.0034830859962263,False,0.3401033220278567,0.06730119104623888,0.0229,60
GRIN2C,ENSG00000161509,1.0139971653990307,0.8234991464964846,2.483833291005629e-18,-0.6971386624848904,64.0,77.71714187231791,1549,1485.9885846099455,792,643.4384354502142,7729.0,13.0,2.0,0.0,0.4085,0.113,31,AMANTADINE (NCT04952519); AV-101 (NCT05036135); AV-101 (NCT05557942),3,0.003108300483480753,0.0013459053593772906,1.230886991458378,False,0.5069985826995154,0.044194838406824935,0.0224,61
PPARA,ENSG00000186951,0.744399409749531,0.5213078451613914,0.0013729770442125,2.4758526665599256,22.0,42.201551739911054,465,608.1616300971633,242,239.29560721056677,1706.0,6.0,1.0,0.0,0.0573,0.053,65,ELAFIBRANOR (NCT02704403); K-877 (NCT03071692),2,0.004178931705670868,0.0016442997231512853,1.0113014727723502,False,0.3721997048747655,0.05941742519000735,0.0221,62
FGB,ENSG00000171564,0.6027438353499276,0.4315660810266993,0.0816570063856179,1.0881294367941807,25.0,57.928556249195466,536,598.4127483758491,203,199.19580033895392,2277.0,6.0,1.0,0.0,0.1704,0.043,74,ANCROD (NCT00300196),1,0.005020186160041468,0.0016710873936327361,1.019097790488418,False,0.3013719176749638,0.07137865766013722,0.0215,63
PPARG,ENSG00000132170,0.6501887613256534,0.4334722619710724,0.1253995565017047,3.1690286742146876,17.0,39.21819569883917,406,585.8506229534762,223,215.72046876301388,1882.0,3.0,1.0,0.0,0.113,0.046,72,ARHALOFENATE (NCT00814372); MESALAMINE (NCT01038739); PIOGLITAZONE HYDROCHLORIDE (NCT00814372),3,0.004635628717729979,0.0017069197519303694,1.0337452040537853,False,0.3250943806628267,0.06591089348758648,0.0214,64
EDNRB,ENSG00000136160,0.5749560453758593,0.3877303264636786,0.6052442768197127,1.9031855011061471,18.0,46.42401889006272,434,537.4531598939822,213,204.95492364990633,2411.0,4.0,1.0,0.0,0.0122,0.041,78,AMBRISENTAN (NCT00768300); DARUSENTAN (NCT00353574); MACITENTAN (NCT03775421); MACITENTAN (NCT04271475),4,0.004879121624363363,0.001860627259494129,1.0392529059893962,False,0.28747802268792966,0.06937295570424191,0.0199,65
ACHE,ENSG00000087085,0.5176770906385761,0.3528024741470057,0.9482610303574964,3.576647987631912,19.0,53.854497607868474,605,849.4154182534891,392,378.09662987674034,2937.0,3.0,2.0,0.0,0.4652,0.058,60,DONEPEZIL (NCT01852110),1,0.005289653072686739,0.0023545605095234385,1.0367720022466007,False,0.25883854531928807,0.0752100268355548,0.0195,66
PGR,ENSG00000082175,0.4587596174937386,0.3284730239341869,0.9987107926701202,0.6496849875546256,25.0,76.10975081171054,1172,1225.3237378446688,579,534.9934327038112,4452.0,11.0,3.0,0.0,0.3095,0.065,55,PROGESTERONE (NCT00822900),1,0.005607545469928959,0.0024483325568122652,1.082256275696289,False,0.2293798087468693,0.07972992547519517,0.0183,67
PDGFRB,ENSG00000113721,0.4520776683312391,0.3495191954535528,0.999581662969727,3.632841586757296,42.0,120.16507403977852,1149,1476.283128831693,586,606.8151431499431,7233.0,29.0,3.0,0.0,0.0524,0.064,56,IMATINIB MESYLATE (NCT00124748); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3,0.004943844981236245,0.0020321305184691453,0.9656977196681467,False,0.22603883416561954,0.07029321367587184,0.0159,68
TP53,ENSG00000141510,0.4183620979251529,0.2582140811696815,0.999595868281925,1.121638987172852,12.0,46.47306585931068,464,524.2143317886109,176,191.0778293042532,3340.0,22.0,1.0,0.0,0.2921,0.03,91,IDASANUTLIN (NCT02545283),1,0.005233469542966704,0.0019076166738669963,0.92109063956214,False,0.20918104896257644,0.07441119093461854,0.0156,69
FLT4,ENSG00000037280,0.2492891699719424,0.1837940969843889,1.0,3.49517742655537,30.0,163.22613452894595,1510,1863.8030436966076,884,789.5093937111649,9551.0,49.0,6.0,0.0,0.7746,0.049,69,AXITINIB (NCT01599754); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3,0.007599656252088936,0.0032192242738802437,1.11968268780777,False,0.1246445849859712,0.10805441166111991,0.0135,70
