symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn
IL17RA,ENSG00000177663,0.897923221802442,0.6744499346966841,3.3004012501368535e-08,-1.324104377550649,34.0,50.4114512447697,1276,1169.812667562867,585,510.3982516007495
ACE,ENSG00000159640,0.8736380337442785,0.7516867693375122,7.628967825190318e-31,-0.6541346462981114,122.0,162.30164607995275,1799,1735.111430061674,796,720.5641668810797
ADRA1D,ENSG00000171873,1.6934255435095007,1.1859171426871915,2.9949909509566204e-09,0.0108841454015918,22.0,18.551043077216836,840,840.7399757940952,376,388.1568535123588
MYH6,ENSG00000197616,0.6545288558678166,0.5645293122791221,8.873172428211332e-20,4.203836840437979,126.0,223.19478769191247,2040,2536.419360990674,978,1010.2387159919738
PTGS1,ENSG00000095303,0.8262494686943145,0.634729771253647,1.1441435074558526e-08,1.1784113232006213,40.0,63.01894414216066,709,786.4881567314939,298,301.8614701005383
MYL7,ENSG00000106631,1.6576516014254956,1.2020303597202222,2.906365758375902e-11,0.5047432353782316,27.0,22.461995058331446,209,226.8240925195016,81,84.37625075716515
GRIN2C,ENSG00000161509,1.0139971653990307,0.8234991464964846,2.4838332910056287e-18,-0.6971386624848904,64.0,77.71714187231791,1549,1485.9885846099455,792,643.4384354502142
LTA,ENSG00000226979,0.7824824426617382,0.3964480493447209,0.38027653978416,2.0646427437317105,6.0,15.134391529778616,173,249.4607088188049,87,107.28468665603648
CYP19A1,ENSG00000137869,0.9679695772818246,0.7206435136149981,1.868334087451208e-08,0.6712577165322224,32.0,44.40475685332528,598,637.74713963476,212,215.55561291163752
ESR2,ENSG00000140009,0.958813332697579,0.7260569527642431,1.8378590598779322e-09,-0.3397191638434963,36.0,49.58288721420661,714,693.0304774097,320,266.1233346057813
C5,ENSG00000106804,0.7362694859798824,0.6399031184020422,3.406686481823717e-28,2.5909447390623677,140.0,218.78311884087424,1700,1969.613067973697,614,682.2703581163787
IFNGR1,ENSG00000027697,0.9215989815268542,0.6504995086518477,1.295980950396346e-05,0.8905052116673625,23.0,35.35744407811655,533,583.4341514938205,199,209.5069335470092
PARP2,ENSG00000129484,0.9139945460763864,0.7330570356623409,1.5474021456562562e-14,0.6181548596084989,57.0,77.75656903490278,651,689.0464253929291,226,242.64209952898452
FGA,ENSG00000171560,1.433585420138699,0.9865697410836096,1.633668921970505e-07,0.1171630958900849,20.0,20.272261723771074,777,784.6954449228512,306,281.63457714247255
AVPR1A,ENSG00000166148,1.3299111197626512,0.98541060635365,4.581875985722761e-11,0.0919793985811833,31.0,31.458967257020305,570,575.172278104678,243,233.2256478062297
ITGB7,ENSG00000139626,0.825306677874159,0.6592793716139019,3.0812724887568853e-12,1.6565022187769407,55.0,83.42442122125127,921,1046.6569555971978,454,423.5628587036935
AVPR2,ENSG00000126895,0.6443696824771261,0.249315795775491,0.8385899889561417,1.5760230906919257,3.0,12.032931931442889,279,347.92869034280693,143,147.5196102242002
ADORA2B,ENSG00000170425,1.2854756513418015,0.8668799953743276,3.200218938216762e-06,-0.3798475852510513,18.0,20.764119712126263,441,422.688995468471,179,178.31678966406912
IL5RA,ENSG00000091181,1.2436135423322785,0.9801516462292856,7.151636264155508e-17,-1.8979850888370575,49.0,49.992264144539824,600,500.44495281700426,202,174.03314213628107
GUCY1B1,ENSG00000061918,0.7814235176880462,0.6059840647321875,1.5189116268852746e-08,3.4033375452151464,43.0,70.95896163375798,535,754.1409950126581,266,259.68358988150453
SCN4A,ENSG00000007314,0.6149036175848166,0.51230606631626,3.989955524085374e-10,2.29069938031806,83.0,162.01252621662678,2196,2462.533304883427,944,985.1142311453996
AGER,ENSG00000204305,1.2046980106610885,0.942197239471736,2.524381978027315e-15,0.4880550978822594,46.0,48.822049219535955,489,514.9687852900996,170,199.94487176934285
HTR2A,ENSG00000102468,0.7062348930472357,0.4517531293978418,0.0854766961320053,2.3387715745679616,14.0,30.990377462710903,442,573.3021787225732,209,225.15947734271143
AR,ENSG00000169083,0.2678959772318074,0.1484738362302068,0.9999999258965238,1.6192595365726652,8.0,53.88154710029921,639,742.453047918048,359,316.3942028570656
IL1A,ENSG00000115008,1.094521165322497,0.7206372690785624,9.107414011502668e-05,0.1139097263208127,16.0,22.202570816880293,317,321.7911546468906,113,118.54999632458268
CD22,ENSG00000012124,0.6802066440557134,0.5386566200529213,1.147701087026629e-07,1.6949008591827093,51.0,94.67998368791868,931,1060.4118087099205,424,422.52829760360754
HTR1A,ENSG00000178394,1.0373287262024793,0.6915733646914677,9.002870834096965e-05,0.899594564261914,17.0,24.58162917767116,515,565.1439683394045,262,244.5565227439539
IL6R,ENSG00000160712,1.0306443947755963,0.7863018475560917,7.935281835363993e-11,1.4455656815477496,38.0,48.32749677252822,534,618.2796316135108,264,256.19279997130997
TNFSF14,ENSG00000125735,1.0161215016684648,0.6599011514985356,0.0004197253094688,0.9251673996041512,15.0,22.73067711116623,287,326.1777813155462,133,139.5631333689695
S1PR2,ENSG00000267534,0.9751986300096742,0.5588453819539824,0.0238288979845237,2.458155008709864,9.0,16.104633393465345,361,488.3730135573172,224,233.8593644357304
PGR,ENSG00000082175,0.4587596174937386,0.3284730239341869,0.9987107926701202,0.6496849875546256,25.0,76.10975081171054,1172,1225.3237378446688,579,534.9934327038112
PDGFRB,ENSG00000113721,0.4520776683312391,0.3495191954535528,0.999581662969727,3.632841586757296,42.0,120.16507403977852,1149,1476.283128831693,586,606.8151431499431
CD86,ENSG00000114013,0.5676588101621431,0.3429488960292132,0.8646576120622828,0.8429791259347507,11.0,32.07474969991737,359,398.4546886928005,137,135.28502741688425
IFNGR2,ENSG00000159128,0.5625904293965285,0.3653638581323473,0.8067107462279989,1.124025846793124,15.0,41.0549638836102,362,415.7376017808424,161,171.60009500147189
TNNT3,ENSG00000130595,0.8771704364395849,0.6642332479299013,1.885615597017091e-08,0.9506054577719032,36.0,54.19782901894004,291,331.5874409237048,120,109.70044928210037
ACHE,ENSG00000087085,0.5176770906385761,0.3528024741470057,0.9482610303574964,3.576647987631912,19.0,53.854497607868474,605,849.4154182534891,392,378.09662987674034
NISCH,ENSG00000010322,0.4975876543556854,0.397487727751637,0.7136005570728154,3.4522254475622565,55.0,138.36905182231374,1643,2005.4952297090852,860,861.5108183008833
FDPS,ENSG00000160752,0.7985033151294959,0.5856354769403397,9.8590536536956e-06,2.0768077205095805,29.0,49.51885796180054,414,525.6437373716361,172,206.45254306881773
DRD3,ENSG00000151577,0.7671641620005287,0.5228305816987837,0.002913253489572,0.7650013660350657,19.0,36.34064391999624,465,505.3216690964545,195,203.6674675568363
CD80,ENSG00000121594,0.7619186700759187,0.4792273076429662,0.0441195555629678,1.6200470341104134,13.0,27.127001722709124,277,347.84565945569597,125,125.54848758962764
PPARA,ENSG00000186951,0.744399409749531,0.5213078451613914,0.0013729770442125,2.4758526665599256,22.0,42.201551739911054,465,608.1616300971633,242,239.29560721056677
PDCD1,ENSG00000188389,0.7191506693283767,0.4239720400582184,0.2383511706878031,1.8127012465963008,10.0,23.58646102848394,313,397.76833801273506,168,169.29055107271802
TOP2A,ENSG00000131747,0.4445183060071672,0.363274831092774,0.9999106616798769,6.143970109165111,68.0,187.1861031369773,1196,1808.6606184070656,542,593.2097032656113
GAS6,ENSG00000183087,0.7014664502008777,0.5406300604921149,2.0170419169519044e-06,1.1993758650259354,41.0,75.8374404166118,854,940.2313111838214,432,412.57065508291856
FLT4,ENSG00000037280,0.2492891699719424,0.1837940969843889,1.0,3.49517742655537,30.0,163.22613452894595,1510,1863.8030436966076,884,789.5093937111649
KDR,ENSG00000128052,0.3446456733708776,0.2672683651236378,0.9999999999978642,2.062119490739699,43.0,160.88697957241698,1469,1666.3751857034713,617,600.1147982264924
MYH7,ENSG00000092054,0.662470606603184,0.5723756058809424,6.6431963814459954e-21,7.378650026979123,129.0,225.37648123814836,1649,2516.978564676292,971,1007.6424564336768
PPARG,ENSG00000132170,0.6501887613256534,0.4334722619710724,0.1253995565017047,3.1690286742146876,17.0,39.21819569883917,406,585.8506229534762,223,215.72046876301388
MSTN,ENSG00000138379,0.6024593251279151,0.3718393273471013,0.673866145252756,0.9511983483624972,12.0,32.27200330210996,403,450.3291203435563,168,155.0545985957938
FGB,ENSG00000171564,0.6027438353499276,0.4315660810266993,0.0816570063856179,1.0881294367941807,25.0,57.928556249195466,536,598.4127483758491,203,199.19580033895392
PTK2,ENSG00000169398,0.3844846007951492,0.2998845405564014,0.9999999944781984,4.580599738930777,45.0,150.05775194849207,919,1307.3366625484064,432,449.2193371048237
PTK2B,ENSG00000120899,0.6051744812854586,0.4967211566736806,7.263402388135249e-08,2.52843824850563,71.0,142.9373382753721,1105,1320.427942749446,519,503.37651313359737
ITGA4,ENSG00000115232,0.5815285484106696,0.4714953104273438,1.270774592241386e-05,2.1297046419179813,63.0,133.61744773855634,1076,1252.7432088882194,483,438.034974597773
EDNRB,ENSG00000136160,0.5749560453758593,0.3877303264636786,0.6052442768197127,1.9031855011061471,18.0,46.42401889006272,434,537.4531598939822,213,204.95492364990633
RET,ENSG00000165731,0.2356662003104965,0.1606090361074428,0.9999999999999992,3.1149695097258885,19.0,118.29969508869692,1219,1502.0681080633994,597,644.1174179378845
BCR,ENSG00000186716,0.5209051001376047,0.4185899171010249,0.0646305456569479,1.315409697502577,58.0,138.5604326107118,1599,1727.1805829390516,786,730.1263508648331
TLR7,ENSG00000196664,0.5075745618805718,0.3132762259561651,0.9767340139235904,3.744175294421858,12.0,38.30485369061835,504,743.3577144705697,285,293.7714239675943
EGFR,ENSG00000146648,0.504692914125459,0.4055620976439725,0.3890693445792946,2.919355815974126,58.0,143.0113916880763,1307,1579.0010426019326,613,594.4427707156876
SLC6A2,ENSG00000103546,0.5034980895685791,0.3628653308670153,0.9608751083583686,3.353147732117959,26.0,71.65192645402823,581,803.9214300144773,363,337.88665978493844
PARP1,ENSG00000143799,0.4768056265702842,0.3708409117351495,0.989734225683642,2.0614168395986723,44.0,118.64926066038882,1100,1272.4139322413948,492,483.1716617599211
CSF2,ENSG00000164400,0.4658828699967499,0.1479981390680415,0.9740548798134824,1.2306431180824111,2.0,13.513683432739027,141,179.67878847052842,66,69.22160234469132
NR3C1,ENSG00000113580,0.2956078119028543,0.1890897142243455,0.999999995005652,3.036958423110445,14.0,74.0389293908906,695,909.7831012210112,308,332.5209619195749
PDGFRA,ENSG00000134853,0.2874198450211174,0.2057933218894758,0.9999999999998104,3.9195446163465704,25.0,121.48110429660392,1008,1345.052506430127,463,494.8085017090556
HMGCR,ENSG00000113161,0.433003626760854,0.3223667998670253,0.9999335526421148,5.011752898284163,32.0,99.26580532858792,708,1097.2567043267072,343,361.3073682900385
SLC6A4,ENSG00000108576,0.427963840399885,0.2997059166408055,0.9998745655239176,3.2328323116597293,22.0,73.40529091511655,593,808.5390748124873,270,315.50107357640746
GRIA1,ENSG00000155511,0.4219577002549077,0.312653670673863,0.9999793704168496,4.706645849453688,31.0,99.15124275747552,782,1157.452952887066,438,432.43408560759264
TP53,ENSG00000141510,0.4183620979251529,0.2582140811696815,0.999595868281925,1.121638987172852,12.0,46.47306585931068,464,524.2143317886109,176,191.0778293042532
CTLA4,ENSG00000163599,0.3809522002625446,0.1473958250111372,0.9970405563345822,2.3782874339428752,3.0,20.353358039641353,184,276.7722123573921,100,105.20569296374424
DRD2,ENSG00000149295,0.3797579045083011,0.2104701739224082,0.9997961472204036,3.5420917761605444,8.0,38.010136310094346,403,607.744734483584,230,238.5620550227497
HSP90AA1,ENSG00000080824,0.3640579363422011,0.2455079890800665,0.9999990313048108,2.454949269390544,18.0,73.31736970127571,704,874.1916195235511,477,296.8924034126991
S1PR1,ENSG00000170989,0.3432056922553397,0.1090269830519924,0.9976324496625056,3.047339854837878,2.0,18.344082758359427,335,493.7731044292755,222,211.19689474371555
MDM2,ENSG00000135679,0.2829601733806156,0.1709493050119289,0.9999999841351008,3.3578042845001237,11.0,64.34656168524589,388,577.1425581496339,194,192.89591668112163
PIK3CA,ENSG00000121879,0.2694577141767922,0.195394709493107,0.9999999999999996,8.751433431539786,27.0,138.18183752284494,544,1277.3859621514866,358,413.1600458912368
DNMT1,ENSG00000130816,0.1643998803545484,0.1168982574778145,1.0,8.085103749234499,24.0,205.3067386787594,1293,2177.6512391202295,817,839.8189152543484
PIK3CD,ENSG00000171608,0.2364994392500996,0.162754996855936,0.9999999999999998,7.043594238095516,20.0,122.88409195634816,787,1406.3449267966068,596,593.4254883890492
KIT,ENSG00000157404,0.2299249950490441,0.1513835691575907,0.999999999999992,4.355090101388107,16.0,105.69178735206032,858,1213.7588175870376,438,441.0489921043307
NCBP1,ENSG00000136937,0.2176152002211944,0.1432787492521253,0.9999999999999996,4.831084757912107,16.0,111.6704332185721,607,957.518133304496,304,314.30271060645714
ABL1,ENSG00000097007,0.1923020724661369,0.1161785605644944,0.9999999999999958,4.50226630176298,11.0,94.68184100881112,1082,1489.4088663751456,656,622.4180482957618
BTK,ENSG00000010671,0.1831070994295915,0.0870857468937627,0.9999999996796236,5.851790366076608,5.0,57.414676664593294,194,501.164722149477,154,174.2812767912815
SLC18A2,ENSG00000165646,0.7452213356933165,0.5573316319348155,9.20199420007727e-06,1.6426823731770064,33.0,59.21070707118884,569,668.592510537169,228,253.4786656572042
CALCB,ENSG00000175868,1.3444366956546108,0.7451163538740992,0.005055487885633,-0.4531587084853007,8.0,10.736578198029653,176,162.4570899263559,76,66.91208253014808
CCN2,ENSG00000118523,0.94680935687483,0.6630568739665385,1.4788691198187571e-05,0.5682370241355418,22.0,33.17965752830766,469,498.7553907782319,178,200.6197158637058
CD274,ENSG00000120217,0.4798834988317069,0.2659619780459246,0.9894387413172834,-0.1472680148553096,8.0,30.079487522154803,353,346.57168278147736,152,124.60064129425972
CD3E,ENSG00000198851,0.7007847405093005,0.461399576008885,0.0481985216488277,0.8275181569807825,16.0,34.677101653192445,223,253.91839515960316,70,90.79449685766002
CXCR2,ENSG00000180871,1.7235052871274334,0.5475100966270133,0.1892926895545214,1.9912922749412745,2.0,3.6529006721906776,351,450.0508307524567,203,193.333406061708
CYP17A1,ENSG00000148795,0.9659688578061127,0.7004631688762024,4.637041197478612e-07,1.6263958757971622,27.0,38.54592389678078,549,645.9186861878211,263,253.28057000485256
RELA,ENSG00000173039,0.3858822293992429,0.2468350210762872,0.999971677791792,2.788515884168542,14.0,56.718045676643015,559,736.431921098972,315,289.6907609388587
RARB,ENSG00000077092,0.4909355010879019,0.3273002161781266,0.9879542119311612,3.3031141279411353,17.0,51.940081795571096,369,550.7593938778797,215,195.40054678538823
RARA,ENSG00000131759,0.2455884389709645,0.1168018755301378,0.9999995309492162,3.856048898387971,5.0,42.80753179095889,402,628.7032300234582,256,259.4996042653947
CYP46A1,ENSG00000036530,0.459119952752432,0.3159587468945261,0.9983321559163024,3.718695194605384,20.0,63.29940283842319,445,670.8346991774223,268,273.54700788817377
DNMT3A,ENSG00000119772,2.512598856977629,2.270391214505107,1.4132864125860657e-142,2.777358744009416,267.0,117.60087789900994,1029,1260.1743395873798,432,474.8045697863611
PTGS2,ENSG00000073756,0.3431556491028322,0.2195043602049604,0.9999991649555448,3.225229993133244,14.0,63.78005424096182,533,738.5090382733785,271,259.4865384578937
EDNRA,ENSG00000151617,0.4396982051328366,0.2656419865891992,0.9985186331864064,4.387064141015424,11.0,41.40911661307102,294,531.0458266831349,172,183.03228666866735
PTGIR,ENSG00000160013,1.379639524504932,0.908360377808808,7.277686935989259e-06,0.3031730753371236,16.0,17.61415445992481,532,548.6506389375838,274,255.4085556967816
F10,ENSG00000126218,1.065488370424015,0.78144671182293,1.8077907907637693e-08,2.1270616340492032,29.0,37.11065586590015,539,667.891856119648,262,268.60533274584066
SERPINC1,ENSG00000117601,0.4484177138205567,0.2767644787341592,0.9980904939661652,2.7614943899952142,12.0,43.35816523451468,423,578.7723544277145,210,218.94791135056025
LTB,ENSG00000227507,1.7330861134541498,1.155425627871406,3.017308968958557e-07,0.8593368267299707,17.0,14.713192774958966,288,324.28429698211124,163,157.32620737535078
JAK2,ENSG00000096968,0.738709681829725,0.6174502535225439,1.192797862619491e-16,-0.7023645562885266,86.0,139.28247580978606,1421,1360.2612184885934,490,437.67643029804174
SLC6A3,ENSG00000142319,0.3957801307142773,0.2697283921951814,0.9999861224617904,3.321630888253529,19.0,70.44123106718102,613,838.5292095481246,368,356.6213696213036
UGCG,ENSG00000148154,0.3425435967528576,0.2019450356068218,0.999992395848905,3.3291438268639637,10.0,49.51842450571334,312,483.67242975059247,182,158.2323048662347
TSLP,ENSG00000145777,1.5664521476402535,0.9668179885443776,7.048325843013238e-05,-1.003409812692918,12.0,12.411850153995342,222,189.6037917165383,97,69.5208377369234
ADORA1,ENSG00000163485,0.5949641088648107,0.3014410899587946,0.8711033748616624,2.7918617525723395,6.0,19.904386627649757,302,439.18625797230027,194,188.38575162054025
ADORA2A,ENSG00000128271,0.9884881177301968,0.5971913104224269,0.0066122314067058,1.9362692206032976,11.0,18.41955803445814,449,556.057725116107,218,237.31141651525627
ADRA1B,ENSG00000170214,1.4220573096188576,0.9480668312324808,2.308395789691096e-06,0.6522801500204366,17.0,17.931225352436506,681,722.0983774649414,366,327.59961878358416
TNNI2,ENSG00000130598,0.826234470399086,0.5285125548082923,0.0096914493644511,1.1779344585298557,14.0,26.489436954015652,205,248.54254690240512,126,97.62829301953111
TNNC2,ENSG00000101470,1.09163828355608,0.6982818544112404,0.0003637373487136,1.732596872989494,14.0,20.049210661222418,163,223.7702510347894,81,77.34513588735695
ALOX5,ENSG00000012779,0.8965421924674865,0.7281102506874599,4.571893566164595e-16,1.210485551883987,64.0,87.8987762355675,822,907.501888764436,388,355.14776980135167
TNFSF13B,ENSG00000102524,0.4954467255757074,0.2745874602300145,0.9831804738637392,2.0250733745091916,8.0,29.13461522714335,248,334.8933072881587,125,130.76996583247023
TNF,ENSG00000232810,0.6031986625713975,0.3211404085366778,0.83611460936656,1.9967782472209783,7.0,21.797319222132465,216,296.6370998282874,123,130.22710699247816
TLR9,ENSG00000239732,1.1344607031535046,0.7731471029583229,7.218585780794932e-06,3.612098811605699,19.0,24.574883521259487,1065,1379.575330617235,579,609.802779909339
APP,ENSG00000142192,0.4127209613298042,0.3058096189401342,0.9999931827833108,2.2177737548963834,31.0,101.37025809534332,839,1003.7487292920924,366,364.3918964198864
SNAP25,ENSG00000132639,0.2698318889349513,0.1044017959640883,0.9999547862274756,4.131200040162375,3.0,28.735137861344136,117,278.71417149569857,61,88.11047823350025
SMAD7,ENSG00000101665,0.3732181758375816,0.2068457126158981,0.9998537827006732,1.7904988592721842,8.0,38.67617026636462,477,577.9258557851198,327,265.1309703154819
BACE1,ENSG00000186318,0.5597184991583963,0.3886877043816062,0.6320809032286518,2.4915515573989735,21.0,54.027950365475405,511,661.2229036538608,232,260.8989076869055
PPARD,ENSG00000112033,0.2995910565663266,0.1517890798582283,0.9999917840449516,3.487478709584986,6.0,39.52853529123456,397,596.7573582651756,210,231.27113507335903
FCGRT,ENSG00000104870,0.5792536981911653,0.3643357239148945,0.7686570410855381,0.3902458157223966,13.0,35.68137612285498,455,474.9411633286926,233,216.53952834840584
FGG,ENSG00000171557,0.5626308841932925,0.3871932554186522,0.6418320224279535,1.3691534751429626,20.0,51.65379231199424,460,534.1986228472304,184,184.7419010049871
FKBP1A,ENSG00000088832,0.7428775978729515,0.3533126277623471,0.56208403607985,3.1049683959515337,5.0,14.15177269962513,53,138.75911032594104,42,49.05563207420111
GRM5,ENSG00000168959,0.3354389961213168,0.228605263584306,0.9999999750972306,4.582999434629286,19.0,83.11269697862008,1160,1588.2547796661524,675,633.6402657418744
GUCY1A1,ENSG00000164116,0.9470927507108644,0.7445957814119617,1.2530690208408505e-12,0.3159672206753726,48.0,64.46450704968888,804,825.2831471597831,308,303.3985026292184
MYL4,ENSG00000198336,1.1236252617218214,0.7397995267056484,6.719402848046035e-05,0.1050210927428429,16.0,21.627480719335583,249,252.9161302369627,82,95.68424928780618
MYL3,ENSG00000160808,0.8532368077663065,0.5154797495195456,0.0286205241154471,1.267387330049352,11.0,21.339344581921175,206,253.29497231127175,88,91.57048088197692
MYL2,ENSG00000111245,1.2134374035470443,0.8269705689812006,3.0179974526728193e-06,1.01953323114962,19.0,22.975424655568276,180,215.05662723793105,78,76.16856614446647
GUCY1A2,ENSG00000152402,0.5861493138113386,0.4250406236898703,0.1108587524955384,2.051110964017394,27.0,63.52333987656784,768,913.3445699578664,364,343.46664244283363
HSP90AB1,ENSG00000096384,0.376157799987966,0.2507794383993953,0.9999955177497326,2.9840787206860595,17.0,67.78865168732663,690,899.8930476828932,390,312.8579381896362
HTR3A,ENSG00000166736,1.052751414264853,0.821109281188409,3.5154576312902373e-13,-0.739452869444225,45.0,54.803911039551934,657,614.0364743639069,297,255.95892110610544
HTR4,ENSG00000164270,0.6601741119084973,0.4346613699168872,0.1281573932946612,1.0173523761423058,16.0,36.81026451248567,438,490.84911762374384,189,185.14499439305905
HTR6,ENSG00000158748,1.3296999347346878,0.8635488144263725,2.3602191877437244e-05,0.6528577949236535,15.0,17.370181916078494,578,615.9925689168012,326,295.50703069514105
IL17A,ENSG00000112115,0.6587259123898616,0.1388585002451426,0.8412823060632278,0.1849217308948201,1.0,7.201575692050443,191,197.0870849463001,90,77.73289336079515
IL33,ENSG00000137033,1.7833772967192716,1.3556097021262896,2.3090042515888047e-16,-2.2875773047728027,37.0,27.293991730779936,406,311.35531111073306,132,102.87641971974574
ITGB1,ENSG00000150093,0.3900430417197087,0.2773441916140604,0.9999979167315394,5.418097422911092,24.0,86.53507347793067,556,946.9289539639204,323,316.7571418046295
MS4A1,ENSG00000156738,0.9160011480558762,0.6030989502275332,0.0008456297112152,0.067983009932596,16.0,26.52964325997189,350,352.99486265945313,128,117.642507333244
JAK1,ENSG00000162434,0.17790951011013,0.1171363584102942,1.0,6.620439806909,16.0,136.59294361838278,859,1450.129382925341,492,519.5545964027341
NCBP2,ENSG00000114503,0.6715056840500596,0.3721632030145467,0.5620656137323271,2.3694677251333873,8.0,21.49594569049134,127,206.91746548175675,92,75.82805131084172
NFKB1,ENSG00000109320,0.1494858445402531,0.0856640599341107,1.0,4.593796706788653,9.0,105.0615626544251,830,1203.700136571958,440,442.1851203644926
NFKB2,ENSG00000077150,0.2766331982519064,0.1921035716095686,0.9999999999993928,4.69916177442768,21.0,109.31603105579111,806,1185.345777690304,478,489.9166802242987
GRIA3,ENSG00000125675,0.1230132647107299,0.047595581878397,0.9999999999983294,5.701293484573716,3.0,63.03106048088165,347,700.9143836761067,274,257.9468438734661
FLT1,ENSG00000102755,0.3978365462596334,0.3135541166713716,0.9999999663857958,3.3227890048104465,49.0,156.2728645382631,1322,1637.2479908308092,594,583.7508528170706
PGF,ENSG00000119630,0.7200181481956173,0.4349962065666765,0.1767409938799683,0.1365887887933546,11.0,25.2875768430728,230,234.90859084832417,105,97.92163772044267
FOLR1,ENSG00000110195,0.7979620515034965,0.4820857172253936,0.0584758575808692,1.12625198021962,11.0,22.81751897423893,273,320.25829991193723,108,116.5521347849012
GNRHR,ENSG00000109163,0.7791278315106506,0.498380127562388,0.02141208480915,0.3515609540481362,14.0,28.091007698230214,366,382.1134723807563,141,140.53366217497276
PDE9A,ENSG00000160191,0.8512221223653207,0.6865651375179196,4.829147829957822e-14,1.7417762740339204,60.0,87.39156231688793,665,778.9854372196091,272,279.4542826335455
GRIA2,ENSG00000120251,0.225009945321466,0.1439307912216267,0.999999999999954,6.67374864187894,14.0,97.2689712963684,558,1069.8204320663565,412,387.8120591617457
