symbol,gene_id,LOEUF,pLI,mis_z,exp_lof,obs_lof,n_variants,n_common,n_common_func,n_common_lof,cum_maf_func,tolerance,burden,score,rank,trials,n_trials
C5,ENSG00000106804,0.7362694859798824,3.406686481823717e-28,2.5909447390623677,218.78311884087424,140.0,8762.0,33.0,3.0,0.0,0.5808,0.3681347429899412,0.2821884283272191,0.104,35,RAVULIZUMAB (NCT04248465); RAVULIZUMAB (NCT04369469); RAVULIZUMAB (NCT05746559),3
IFNGR1,ENSG00000027697,0.9215989815268542,1.295980950396346e-05,0.8905052116673625,35.35744407811655,23.0,2258.0,16.0,2.0,0.0,0.1672,0.4607994907634271,0.22362903851804097,0.103,36,INTERFERON GAMMA-1B (NCT00047632),1
PARP2,ENSG00000129484,0.9139945460763864,1.5474021456562562e-14,0.6181548596084989,77.75656903490278,57.0,3538.0,19.0,2.0,0.0,0.0761,0.4569972730381932,0.22362903851804097,0.102,37,NIRAPARIB (NCT01905592),1
FGA,ENSG00000171560,1.433585420138699,1.633668921970505e-07,0.1171630958900849,20.272261723771074,20.0,3100.0,4.0,1.0,0.0,0.2686,0.7167927100693495,0.14109421416360954,0.101,38,ANCROD (NCT00300196),1
AVPR1A,ENSG00000166148,1.3299111197626512,4.581875985722761e-11,0.0919793985811833,31.458967257020305,31.0,1567.0,10.0,1.0,0.0,0.0104,0.6649555598813256,0.14109421416360954,0.094,39,BALOVAPTAN (NCT03504917); SELEPRESSIN (NCT02508649),2
ITGB7,ENSG00000139626,0.825306677874159,3.0812724887568853e-12,1.6565022187769407,83.42442122125127,55.0,4061.0,9.0,2.0,0.0,0.0317,0.4126533389370795,0.22362903851804097,0.092,40,NATALIZUMAB (NCT01416181),1
AVPR2,ENSG00000126895,0.6443696824771261,0.8385899889561417,1.5760230906919257,12.032931931442889,3.0,1133.0,3.0,3.0,0.0,0.4264,0.32218484123856306,0.2821884283272191,0.091,41,TOLVAPTAN (NCT01227512),1
ADORA2B,ENSG00000170425,1.2854756513418015,3.200218938216762e-06,-0.3798475852510513,20.764119712126263,18.0,1313.0,1.0,1.0,0.0,0.0416,0.6427378256709008,0.14109421416360954,0.091,42,ADENOSINE (NCT00612521); CAFFEINE CITRATE (NCT03340727),2
IL5RA,ENSG00000091181,1.2436135423322785,7.151636264155508e-17,-1.8979850888370575,49.992264144539824,49.0,2733.0,7.0,1.0,0.0,0.3678,0.6218067711661392,0.14109421416360954,0.088,43,BENRALIZUMAB (NCT04543409),1
GUCY1B1,ENSG00000061918,0.7814235176880462,1.5189116268852746e-08,3.4033375452151464,70.95896163375798,43.0,4581.0,14.0,2.0,1.0,0.4288,0.3907117588440231,0.22362903851804097,0.087,44,NITRIC OXIDE (NCT02725372),1
SCN4A,ENSG00000007314,0.6149036175848166,3.989955524085374e-10,2.29069938031806,162.01252621662678,83.0,9659.0,33.0,3.0,0.0,0.5603,0.3074518087924083,0.2821884283272191,0.087,45,BUPIVACAINE HYDROCHLORIDE (NCT04826484),1
AGER,ENSG00000204305,1.2046980106610885,2.524381978027315e-15,0.4880550978822594,48.822049219535955,46.0,1975.0,10.0,1.0,0.0,0.0561,0.6023490053305443,0.14109421416360954,0.085,46,AZELIRAGON (NCT02080364); AZELIRAGON (NCT02916056),2
HTR2A,ENSG00000102468,0.7062348930472357,0.0854766961320053,2.3387715745679616,30.990377462710903,14.0,1213.0,8.0,2.0,0.0,0.1088,0.3531174465236179,0.22362903851804097,0.079,47,HALOPERIDOL (NCT03628391); MOLINDONE (NCT02691182); QUETIAPINE (NCT00658645); QUETIAPINE (NCT00704509); VOLINANSERIN (NCT00464061),5
AR,ENSG00000169083,0.2678959772318074,0.9999999258965238,1.6192595365726652,53.88154710029921,8.0,3156.0,20.0,17.0,0.0,0.6377,0.1339479886159037,0.5883522911996913,0.079,48,GALETERONE (NCT01709734); OXANDROLONE (NCT00101361); TESTOSTERONE (NCT02418572),3
IL1A,ENSG00000115008,1.094521165322497,9.107414011502668e-05,0.1139097263208127,22.202570816880293,16.0,1291.0,2.0,1.0,0.0,0.2868,0.5472605826612486,0.14109421416360954,0.077,49,BERMEKIMAB (NCT01767857); BERMEKIMAB (NCT04791319),2
CD22,ENSG00000012124,0.6802066440557134,1.147701087026629e-07,1.6949008591827093,94.67998368791868,51.0,3841.0,20.0,2.0,1.0,0.231,0.3401033220278567,0.22362903851804097,0.076,50,INOTUZUMAB OZOGAMICIN (NCT01232556),1
HTR1A,ENSG00000178394,1.0373287262024793,9.002870834096965e-05,0.899594564261914,24.58162917767116,17.0,1117.0,3.0,1.0,0.0,0.0115,0.5186643631012396,0.14109421416360954,0.073,51,BIFEPRUNOX (NCT00658645); BIFEPRUNOX (NCT00704509),2
IL6R,ENSG00000160712,1.0306443947755963,7.935281835363993e-11,1.4455656815477496,48.32749677252822,38.0,3275.0,13.0,1.0,0.0,0.383,0.5153221973877982,0.14109421416360954,0.073,52,TOCILIZUMAB (NCT01209689),1
TNFSF14,ENSG00000125735,1.0161215016684648,0.0004197253094688,0.9251673996041512,22.73067711116623,15.0,1185.0,4.0,1.0,0.0,0.0539,0.5080607508342324,0.14109421416360954,0.072,53,BAMINERCEPT (NCT00458861),1
S1PR2,ENSG00000267534,0.9751986300096742,0.0238288979845237,2.458155008709864,16.104633393465345,9.0,959.0,2.0,1.0,0.0,0.0109,0.4875993150048371,0.14109421416360954,0.069,54,FINGOLIMOD HYDROCHLORIDE (NCT00731692),1
PGR,ENSG00000082175,0.4587596174937386,0.9987107926701202,0.6496849875546256,76.10975081171054,25.0,4452.0,11.0,3.0,0.0,0.3095,0.2293798087468693,0.2821884283272191,0.065,55,PROGESTERONE (NCT00822900),1
PDGFRB,ENSG00000113721,0.4520776683312391,0.999581662969727,3.632841586757296,120.16507403977852,42.0,7233.0,29.0,3.0,0.0,0.0524,0.22603883416561954,0.2821884283272191,0.064,56,IMATINIB MESYLATE (NCT00124748); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3
CD86,ENSG00000114013,0.5676588101621431,0.8646576120622828,0.8429791259347507,32.07474969991737,11.0,1599.0,5.0,2.0,0.0,0.3664,0.2838294050810716,0.22362903851804097,0.063,57,ABATACEPT (NCT00430677); ABATACEPT (NCT00534313),2
IFNGR2,ENSG00000159128,0.5625904293965285,0.8067107462279989,1.124025846793124,41.0549638836102,15.0,2521.0,9.0,2.0,0.0,0.1766,0.28129521469826424,0.22362903851804097,0.063,58,INTERFERON GAMMA-1B (NCT00047632),1
TNNT3,ENSG00000130595,0.8771704364395849,1.885615597017091e-08,0.9506054577719032,54.19782901894004,36.0,3518.0,9.0,1.0,1.0,0.0124,0.43858521821979246,0.14109421416360954,0.062,59,RELDESEMTIV (NCT04944784),1
ACHE,ENSG00000087085,0.5176770906385761,0.9482610303574964,3.576647987631912,53.854497607868474,19.0,2937.0,3.0,2.0,0.0,0.4652,0.25883854531928807,0.22362903851804097,0.058,60,DONEPEZIL (NCT01852110),1
NISCH,ENSG00000010322,0.4975876543556854,0.7136005570728154,3.4522254475622565,138.36905182231374,55.0,7695.0,29.0,2.0,0.0,0.217,0.2487938271778427,0.22362903851804097,0.056,61,MOXONIDINE (NCT00244504),1
FDPS,ENSG00000160752,0.7985033151294959,9.8590536536956e-06,2.0768077205095805,49.51885796180054,29.0,2456.0,8.0,1.0,0.0,0.0233,0.39925165756474795,0.14109421416360954,0.056,62,ALENDRONIC ACID (NCT00471237),1
DRD3,ENSG00000151577,0.7671641620005287,0.002913253489572,0.7650013660350657,36.34064391999624,19.0,1672.0,4.0,1.0,0.0,0.3577,0.38358208100026436,0.14109421416360954,0.054,63,HALOPERIDOL (NCT03628391),1
CD80,ENSG00000121594,0.7619186700759187,0.0441195555629678,1.6200470341104134,27.127001722709124,13.0,1217.0,3.0,1.0,0.0,0.0153,0.38095933503795937,0.14109421416360954,0.054,64,ABATACEPT (NCT00430677); ABATACEPT (NCT00534313),2
PPARA,ENSG00000186951,0.744399409749531,0.0013729770442125,2.4758526665599256,42.201551739911054,22.0,1706.0,6.0,1.0,0.0,0.0573,0.3721997048747655,0.14109421416360954,0.053,65,ELAFIBRANOR (NCT02704403); K-877 (NCT03071692),2
PDCD1,ENSG00000188389,0.7191506693283767,0.2383511706878031,1.8127012465963008,23.58646102848394,10.0,1698.0,4.0,1.0,0.0,0.0386,0.35957533466418834,0.14109421416360954,0.051,66,PEMBROLIZUMAB (NCT05226598),1
TOP2A,ENSG00000131747,0.4445183060071672,0.9999106616798769,6.143970109165111,187.1861031369773,68.0,6770.0,13.0,2.0,0.0,0.0499,0.2222591530035836,0.22362903851804097,0.05,67,DOXORUBICIN (NCT02626455); DOXORUBICIN HYDROCHLORIDE (NCT00005047),2
GAS6,ENSG00000183087,0.7014664502008777,2.0170419169519044e-06,1.1993758650259354,75.8374404166118,41.0,4908.0,12.0,1.0,0.0,0.0118,0.35073322510043886,0.14109421416360954,0.049,68,BATIRAXCEPT (NCT04729608),1
FLT4,ENSG00000037280,0.2492891699719424,1.0,3.49517742655537,163.22613452894595,30.0,9551.0,49.0,6.0,0.0,0.7746,0.1246445849859712,0.39610153660605896,0.049,69,AXITINIB (NCT01599754); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3
KDR,ENSG00000128052,0.3446456733708776,0.9999999999978642,2.062119490739699,160.88697957241698,43.0,6558.0,20.0,3.0,0.0,0.3599,0.1723228366854388,0.2821884283272191,0.049,70,AXITINIB (NCT01599754); CABOZANTINIB (NCT04338269); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),4
MYH7,ENSG00000092054,0.662470606603184,6.6431963814459954e-21,7.378650026979123,225.37648123814836,129.0,8212.0,29.0,1.0,0.0,0.0115,0.331235303301592,0.14109421416360954,0.047,71,MAVACAMTEN (NCT05582395),1
PPARG,ENSG00000132170,0.6501887613256534,0.1253995565017047,3.1690286742146876,39.21819569883917,17.0,1882.0,3.0,1.0,0.0,0.113,0.3250943806628267,0.14109421416360954,0.046,72,ARHALOFENATE (NCT00814372); MESALAMINE (NCT01038739); PIOGLITAZONE HYDROCHLORIDE (NCT00814372),3
MSTN,ENSG00000138379,0.6024593251279151,0.673866145252756,0.9511983483624972,32.27200330210996,12.0,1028.0,1.0,1.0,0.0,0.0245,0.30122966256395756,0.14109421416360954,0.043,73,DOMAGROZUMAB (NCT02310763),1
FGB,ENSG00000171564,0.6027438353499276,0.0816570063856179,1.0881294367941807,57.928556249195466,25.0,2277.0,6.0,1.0,0.0,0.1704,0.3013719176749638,0.14109421416360954,0.043,74,ANCROD (NCT00300196),1
PTK2,ENSG00000169398,0.3844846007951492,0.9999999944781984,4.580599738930777,150.05775194849207,45.0,9674.0,28.0,2.0,0.0,0.1874,0.1922423003975746,0.22362903851804097,0.043,75,DEFACTINIB (NCT01870609),1
PTK2B,ENSG00000120899,0.6051744812854586,7.263402388135249e-08,2.52843824850563,142.9373382753721,71.0,6219.0,24.0,1.0,0.0,0.4445,0.3025872406427293,0.14109421416360954,0.043,76,DEFACTINIB (NCT01870609),1
ITGA4,ENSG00000115232,0.5815285484106696,1.270774592241386e-05,2.1297046419179813,133.61744773855634,63.0,7810.0,24.0,1.0,0.0,0.3009,0.2907642742053348,0.14109421416360954,0.041,77,NATALIZUMAB (NCT01416181),1
EDNRB,ENSG00000136160,0.5749560453758593,0.6052442768197127,1.9031855011061471,46.42401889006272,18.0,2411.0,4.0,1.0,0.0,0.0122,0.28747802268792966,0.14109421416360954,0.041,78,AMBRISENTAN (NCT00768300); DARUSENTAN (NCT00353574); MACITENTAN (NCT03775421); MACITENTAN (NCT04271475),4
RET,ENSG00000165731,0.2356662003104965,0.9999999999999992,3.1149695097258885,118.29969508869692,19.0,6544.0,25.0,4.0,0.0,0.4598,0.11783310015524825,0.32761061989253937,0.039,79,MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),2
BCR,ENSG00000186716,0.5209051001376047,0.0646305456569479,1.315409697502577,138.5604326107118,58.0,7993.0,27.0,1.0,0.0,0.1642,0.26045255006880236,0.14109421416360954,0.037,80,IMATINIB MESYLATE (NCT00124748),1
TLR7,ENSG00000196664,0.5075745618805718,0.9767340139235904,3.744175294421858,38.30485369061835,12.0,1268.0,4.0,1.0,0.0,0.1967,0.2537872809402859,0.14109421416360954,0.036,81,HYDROXYCHLOROQUINE SULFATE (NCT04329923),1
EGFR,ENSG00000146648,0.504692914125459,0.3890693445792946,2.919355815974126,143.0113916880763,58.0,6551.0,25.0,1.0,0.0,0.268,0.2523464570627295,0.14109421416360954,0.036,82,CETUXIMAB (NCT00946712); ERLOTINIB (NCT01244191); SAPITINIB (NCT01151215),3
SLC6A2,ENSG00000103546,0.5034980895685791,0.9608751083583686,3.353147732117959,71.65192645402823,26.0,3499.0,11.0,1.0,0.0,0.0166,0.25174904478428956,0.14109421416360954,0.036,83,BICIFADINE (NCT00597649); EDIVOXETINE (NCT00965419); LISDEXAMFETAMINE DIMESYLATE (NCT01436175); VENLAFAXINE (NCT00354432),4
PARP1,ENSG00000143799,0.4768056265702842,0.989734225683642,2.0614168395986723,118.64926066038882,44.0,5580.0,20.0,1.0,0.0,0.1681,0.2384028132851421,0.14109421416360954,0.034,84,NIRAPARIB (NCT01905592),1
CSF2,ENSG00000164400,0.4658828699967499,0.9740548798134824,1.2306431180824111,13.513683432739027,2.0,738.0,2.0,1.0,0.0,0.2311,0.23294143499837494,0.14109421416360954,0.033,85,OTILIMAB (NCT04333147),1
NR3C1,ENSG00000113580,0.2956078119028543,0.999999995005652,3.036958423110445,74.0389293908906,14.0,2566.0,8.0,2.0,0.0,0.0511,0.14780390595142714,0.22362903851804097,0.033,86,BUDESONIDE (NCT04193878); DEXAMETHASONE (NCT01975727); METHYLPREDNISOLONE (NCT03584516); PREDNISONE (NCT00430677); PREDNISONE (NCT00676650); PREDNISONE (NCT02626455); PREDNISONE (NCT03584516); PREDNIS,8
PDGFRA,ENSG00000134853,0.2874198450211174,0.9999999999998104,3.9195446163465704,121.48110429660392,25.0,5717.0,18.0,2.0,0.0,0.1371,0.1437099225105587,0.22362903851804097,0.032,87,MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),2
HMGCR,ENSG00000113161,0.433003626760854,0.9999335526421148,5.011752898284163,99.26580532858792,32.0,3794.0,8.0,1.0,0.0,0.0179,0.216501813380427,0.14109421416360954,0.031,88,ATORVASTATIN (NCT00741715); ATORVASTATIN (NCT02260648); ROSUVASTATIN (NCT00979121); SIMVASTATIN (NCT00120289); SIMVASTATIN (NCT01057758); SIMVASTATIN (NCT01061671),6
SLC6A4,ENSG00000108576,0.427963840399885,0.9998745655239176,3.2328323116597293,73.40529091511655,22.0,3099.0,1.0,1.0,0.0,0.0174,0.2139819201999425,0.14109421416360954,0.03,89,BICIFADINE (NCT00597649); VENLAFAXINE (NCT00354432),2
GRIA1,ENSG00000155511,0.4219577002549077,0.9999793704168496,4.706645849453688,99.15124275747552,31.0,4980.0,21.0,1.0,1.0,0.036,0.21097885012745385,0.14109421416360954,0.03,90,PERAMPANEL (NCT00360412),1
TP53,ENSG00000141510,0.4183620979251529,0.999595868281925,1.121638987172852,46.47306585931068,12.0,3340.0,22.0,1.0,0.0,0.2921,0.20918104896257644,0.14109421416360954,0.03,91,IDASANUTLIN (NCT02545283),1
CTLA4,ENSG00000163599,0.3809522002625446,0.9970405563345822,2.3782874339428752,20.353358039641353,3.0,887.0,1.0,1.0,0.0,0.3935,0.1904761001312723,0.14109421416360954,0.027,92,IPILIMUMAB (NCT03445533),1
DRD2,ENSG00000149295,0.3797579045083011,0.9997961472204036,3.5420917761605444,38.010136310094346,8.0,1913.0,6.0,1.0,0.0,0.0232,0.18987895225415055,0.14109421416360954,0.027,93,BIFEPRUNOX (NCT00658645); BIFEPRUNOX (NCT00704509); HALOPERIDOL (NCT03628391); MOLINDONE (NCT02691182); QUETIAPINE (NCT00658645); QUETIAPINE (NCT00704509),6
HSP90AA1,ENSG00000080824,0.3640579363422011,0.9999990313048108,2.454949269390544,73.31736970127571,18.0,4404.0,17.0,1.0,0.0,0.1203,0.18202896817110056,0.14109421416360954,0.026,94,GANETESPIB (NCT01798485),1
S1PR1,ENSG00000170989,0.3432056922553397,0.9976324496625056,3.047339854837878,18.344082758359427,2.0,805.0,3.0,1.0,0.0,0.0182,0.17160284612766985,0.14109421416360954,0.024,95,ETRASIMOD (NCT04173273); FINGOLIMOD HYDROCHLORIDE (NCT00731692),2
MDM2,ENSG00000135679,0.2829601733806156,0.9999999841351008,3.3578042845001237,64.34656168524589,11.0,3015.0,8.0,1.0,1.0,0.4702,0.1414800866903078,0.14109421416360954,0.02,96,IDASANUTLIN (NCT02545283),1
PIK3CA,ENSG00000121879,0.2694577141767922,0.9999999999999996,8.751433431539786,138.18183752284494,27.0,4715.0,25.0,1.0,0.0,0.0661,0.1347288570883961,0.14109421416360954,0.019,97,COPANLISIB (NCT02626455),1
DNMT1,ENSG00000130816,0.1643998803545484,1.0,8.085103749234499,205.3067386787594,24.0,9319.0,35.0,2.0,0.0,0.1031,0.0821999401772742,0.22362903851804097,0.018,98,AZACITIDINE (NCT02147873); AZACITIDINE (NCT04313881); AZACITIDINE (NCT05079230),3
PIK3CD,ENSG00000171608,0.2364994392500996,0.9999999999999998,7.043594238095516,122.88409195634816,20.0,4922.0,12.0,1.0,0.0,0.0262,0.1182497196250498,0.14109421416360954,0.017,99,COPANLISIB (NCT02626455); PARSACLISIB (NCT04551053); PARSACLISIB (NCT04551066),3
KIT,ENSG00000157404,0.2299249950490441,0.999999999999992,4.355090101388107,105.69178735206032,16.0,4299.0,14.0,1.0,0.0,0.0953,0.11496249752452205,0.14109421416360954,0.016,100,IMATINIB MESYLATE (NCT00124748); MOTESANIB (NCT00460317); MOTESANIB (NCT02629848),3
NCBP1,ENSG00000136937,0.2176152002211944,0.9999999999999996,4.831084757912107,111.6704332185721,16.0,4440.0,9.0,1.0,0.0,0.0163,0.1088076001105972,0.14109421416360954,0.015,101,OBEFAZIMOD (NCT04393038),1
ABL1,ENSG00000097007,0.1923020724661369,0.9999999999999958,4.50226630176298,94.68184100881112,11.0,4022.0,7.0,1.0,0.0,0.0185,0.09615103623306845,0.14109421416360954,0.014,102,IMATINIB MESYLATE (NCT00124748),1
BTK,ENSG00000010671,0.1831070994295915,0.9999999996796236,5.851790366076608,57.414676664593294,5.0,2335.0,12.0,1.0,0.0,0.2344,0.09155354971479575,0.14109421416360954,0.013,103,EVOBRUTINIB (NCT02975349); FENEBRUTINIB (NCT03407482); RILZABRUTINIB (NCT03762265),3
SLC18A2,ENSG00000165646,0.7452213356933165,9.20199420007727e-06,1.6426823731770064,59.21070707118884,33.0,3476.0,15.0,0.0,0.0,0.0,0.37261066784665825,0.0,0.0,104,DEUTETRABENAZINE (NCT03567291); LISDEXAMFETAMINE DIMESYLATE (NCT01436175),2
